Date,Name,Price,PerPrice
2022-08-09,빛가람혁신도시중흥S-클래스센트럴1차,"3억 5,000",1220
2022-08-09,빛가람중흥S-클래스센트럴2차,"3억 4,000",1182
2022-08-09,빛가람우미린,"2억 7,000",901
2022-08-09,이노시티애시앙,"4억",1198
2022-08-09,빛가람동루멘하임,"2억 5,000",747
2022-08-09,나주역자이리버파크,"3억 7,770",1128
2022-08-11,빛가람혁신도시중흥S-클래스센트럴1차,"3억 5,000",1220
2022-08-11,빛가람중흥S-클래스센트럴2차,"3억 4,000",1182
2022-08-11,빛가람우미린,"2억 7,000",901
2022-08-11,이노시티애시앙,4억,1198
2022-08-11,빛가람동루멘하임,"2억 5,000",747
2022-08-11,나주역자이리버파크,"3억 7,770",1128
2022-08-19,빛가람혁신도시중흥S-클래스센트럴1차,"3억 5,000",1220
2022-08-19,빛가람중흥S-클래스센트럴2차,"3억 4,000",1182
2022-08-19,빛가람우미린,"2억 5,000",834
2022-08-19,이노시티애시앙,"3억 9,000",1166
2022-08-19,빛가람동루멘하임,"2억 5,000",747
2022-08-19,나주역자이리버파크,"3억 7,770",1128
2022-08-22,빛가람혁신도시중흥S-클래스센트럴1차,"3억 5,000",1220
2022-08-22,빛가람중흥S-클래스센트럴2차,"3억 4,000",1182
2022-08-22,빛가람우미린,"2억 7,000",901
2022-08-22,이노시티애시앙,"3억 9,000",1166
2022-08-22,빛가람동루멘하임,"2억 5,000",747
2022-08-22,나주역자이리버파크,"3억 7,770",1128
2022-08-25,빛가람혁신도시중흥S-클래스센트럴1차,"3억 5,000",1220
2022-08-25,빛가람중흥S-클래스센트럴2차,"3억 1,000",1078
2022-08-25,빛가람우미린,"2억 7,000",901
2022-08-25,이노시티애시앙,"3억 9,000",1166
2022-08-25,빛가람동루멘하임,"2억 5,000",747
2022-08-25,나주역자이리버파크,"3억 7,770",1128
